"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",6.04567182386353e-21,1.23089878333861e-17,1.18665095279281,0.627674920960255,3.25429256213151,104,"KIF4A; BUB1; NCAPH; CKAP2; ESCO2; HMMR; KIF11; ASPM; SMC4; BUB1B; FBXO5; NUF2; H1-1; DLGAP5; ANLN; MIS18BP1; SHCBP1; SGO2; PBK; KIF23; PLK4; SPC25; BRIP1; HMGB2; CENPE; POLQ; NCAPD2; PRR11; FANCI; E2F8; NCAPG2; SPAG5; CENPU; BIRC5; CDK1; EXO1; UBE2T; TPX2; TTK; CDCA2; FAM111A; DEPDC1; KIF14; NEK2; CENPA; BLM; NUSAP1; IL32; CIP2A; PRC1; KIF2C; CDC45; MKI67; FANCD2; MELK; BRCA1; PARPBP; DEPDC1B; GTSE1"
"2","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",1.91072723416248e-21,5.18698753167307e-18,1.19534448258848,0.578912311750999,3.14527398192443,135,"KIF4A; BUB1; NASP; NCAPH; ESCO2; KIF11; ASPM; BUB1B; FBXO5; H2AX; DLGAP5; CEP55; ANLN; SHCBP1; ATAD5; PRIM1; PBK; KIF23; PLK4; BRIP1; NCAPG; SMC2; MPHOSPH9; POLQ; NCAPD2; E2F7; H1-2; SPDL1; PRR11; FANCI; E2F8; FAM111B; NCAPG2; SPAG5; CENPU; WDHD1; DNMT1; BIRC5; CDK1; EXO1; UBE2T; TPX2; TTK; CDCA2; RRM1; MYBL1; MRE11; ATAD2; MAN1A1; FANCG; HELLS; CBX5; BLM; NUSAP1; CIP2A; HR; PRC1; KIF2C; CDC45; MKI67; FANCD2; COL12A1; MELK; BRCA1; DEPDC1B; GTSE1; WDR76; CCDC34; STC1"
"3","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",4.32392002220816e-16,4.4017505826079e-13,1.03769615548758,0.606319684065537,3.03015366723014,84,"KIF4A; NCAPH; HMMR; KIF11; BUB1B; NUF2; CEP55; ANLN; SHCBP1; ATAD5; PRIM1; PLK4; SPC25; CENPE; NCAPG; PRR11; FANCI; E2F8; DIAPH3; FAM111B; NCAPG2; SPAG5; WDHD1; BIRC5; EXO1; UBE2T; TTK; CDCA2; ZNF608; FAM161A; KIF14; NEK2; FANCG; GPATCH11; BLM; NUSAP1; PRC1; KIF2C; CDC45; ZNF395; BRCA1; DEPDC1B; DHFR; WDR76; CCDC34; KIF20A"
"4","HAMAI_APOPTOSIS_VIA_TRAIL_UP",6.5333809215207e-24,2.66039271124323e-20,1.27091304449619,0.523180708936587,3.02463200988639,196,"FXR1; TASOR; RAD21; HSP90B1; HMMR; KIF11; ASPM; SMC4; BUB1B; HLTF; NUF2; DLGAP5; CEP55; ANLN; MIS18BP1; PDS5B; PALLD; ADD3; HMGB1; PBK; SYNE2; DBF4; RB1CC1; KIF23; CENPE; CDC5L; SMC2; MYH10; POLQ; NIPBL; CAST; QSER1; SPDL1; CEP192; DIAPH3; RECQL; MTUS1; RSF1; IFT74; SCP2; CCDC88A; CUL4B; PHF20L1; BCAP29; AGGF1; CENPU; ERGIC2; WDHD1; ERCC5; NUCB2; SMARCA2; TTK; SPECC1; FAM111A; DEPDC1; MYBL1; KIF14; ATAD2; TCEA1; HELLS; BLM; RIF1; MNS1; ZBTB11; NUSAP1; PTPN13; MKI67; EEA1; FBXL3; SOCS3; RNF13; ATL1; DYNLT3; PROS1; PAPSS2; BRCA1; PARPBP; NCL; CLIP1; ITGA6; ARMC1; EIF3A; TCF4; JAKMIP2; FRA10AC1; MPHOSPH10; EPRS1; RAD50; BAZ2B; ZNF195; HAS2; EIF3J; EIF5B; NOC3L; VLDLR; SLC16A7; SLU7; G0S2; LUC7L3; TRIM24; ARHGAP11A; TCAF1; DNAJC1; BNIP3L; RAD51AP1; SRSF11; TCEAL2; HSPA4L; ZNF644; CCAR1; TNPO1; TBCA; NARS1; ATP1B1; PUM3"
"5","ODONNELL_TFRC_TARGETS_DN",2.93207424485336e-13,1.36557164117534e-10,0.932595211336209,0.635847590213876,2.966493168542,60,"KIF4A; BUB1; NCAPH; HMMR; KIF11; ASPM; BUB1B; FBXO5; DLGAP5; CEP55; ANLN; SHCBP1; SGO2; DBF4; PLK4; SPC25; CENPE; DIAPH3; RANBP1; BIRC5; CDK1; TTK; DEPDC1; KIF14; HELLS; CENPA; RIF1; NFIA; PRC1; MKI67; FANCD2; DEPDC1B; GTSE1; TMEM107; KIF20A"
"6","FISCHER_DREAM_TARGETS",1.22847670012561e-27,1.0004714245823e-23,1.36517960216169,0.465672927691094,2.89472977042134,318,"KIF4A; BUB1; NASP; NCAPH; CKAP2; RAD21; ESCO2; HMMR; KIF11; ASPM; CKAP5; SMC4; BUB1B; FBXO5; CCDC77; HLTF; NUF2; H2AX; DLGAP5; CEP55; SIN3A; ANLN; MIS18BP1; PDS5B; SHCBP1; ATAD5; PRIM1; SGO2; HMGB1; PBK; KPNA3; DBF4; KIF23; PLK4; SPC25; BRIP1; HMGB2; CENPE; NCAPG; SMC2; MPHOSPH9; POLQ; NCAPD2; NIPBL; CEP135; DZIP3; E2F7; H1-2; SPDL1; PRR11; SAP30; FANCI; CEP192; E2F8; C5orf34; DIAPH3; FAM111B; FIGN; RANBP1; NCAPG2; RTKN2; SPAG5; CENPU; EWSR1; WDHD1; DNMT1; ACTL6A; BIRC5; CDK1; SRRM1; MTF2; PPP1R10; ARL6IP1; EXO1; UBE2T; TPX2; SPAG9; TTK; CDCA2; FAM161A; PSIP1; FAM111A; BHLHE40; RRM1; DEPDC1; MYBL1; KIF14; NEK2; MRE11; ATAD2; FANCG; TCEA1; HELLS; GPATCH11; CENPA; CBX5; BLM; RIF1; MNS1; H2BC4; UACA; NUSAP1; CIP2A; PRC1; KIF2C; CDC45; MKI67; ATP23; NF2; FANCD2; PMAIP1; BIRC6; SEC14L1; MELK; BRCA1; PARPBP; ZNF587; LNPK; HSPD1; DEPDC1B; GTSE1; DHFR; WDR76; CCDC34; TUBA1C"
"7","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",5.37012192420522e-14,3.12387663933766e-11,0.965327754226083,0.568434295916498,2.87131996897287,90,"KIF4A; BUB1; NCAPH; HMMR; KIF11; ASPM; SMC4; BUB1B; FBXO5; H2AX; DLGAP5; CEP55; SHCBP1; PBK; DBF4; KIF23; HMGB2; CENPE; NCAPG; SMC2; POLQ; SPDL1; FANCI; E2F8; SPAG5; CENPU; BIRC5; CDK1; TPX2; TTK; KIF14; NEK2; ATAD2; HELLS; CENPA; NUSAP1; PRC1; KIF2C; MKI67; MELK; BRCA1; GTSE1; DHFR"
"8","KANG_DOXORUBICIN_RESISTANCE_UP",1.66888066449663e-10,4.38431101021308e-08,0.826657301178302,0.689538598384844,2.86432063193703,36,"KIF4A; BUB1; HMMR; ASPM; BUB1B; PBK; PLK4; HMGB2; NCAPG; POLQ; FANCI; NCAPG2; BIRC5; CDK1; TPX2; RRM1; ATAD2; CENPA; NUSAP1; PRC1; MKI67"
"9","LEE_EARLY_T_LYMPHOCYTE_UP",2.57361548483348e-12,1.04797622542419e-09,0.898671232061694,0.611889356588091,2.86127322525495,63,"BUB1; HMMR; KIF11; ASPM; BUB1B; NUF2; DLGAP5; CEP55; PALLD; SGO2; PBK; NCAPG; E2F7; PRR11; FANCI; E2F8; DIAPH3; CENPU; BIRC5; CDK1; UBE2T; TTK; CDCA2; KIF14; NEK2; ATAD2; CENPA; NUSAP1; PRC1; KIF2C; MKI67; CXXC5; MELK"
"10","HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP",7.67374755362844e-13,3.28921053035526e-10,0.921426003494898,0.567340718619169,2.83353509997193,82,"KIF4A; BUB1; NASP; NCAPH; CKAP5; SMC4; H2AX; DLGAP5; ANLN; MIS18BP1; DBF4; KIF23; PLK4; HMGB2; CENPE; FLII; SMC2; SPDL1; E2F8; WDHD1; DNMT1; CDK1; ACTN4; UBE2T; TTK; FAM111A; RRM1; NEK2; HELLS; CENPA; CBX5; NUSAP1; CIP2A; PRC1; KIF2C; CDC45; MKI67"
